total_num_patients, total_num_ed_patients, total_num_patients_entered,total_num_ed_patients_entered,mortality_rate,total_num_deceased_patients,total_num_lwbs,ed_throughput_per_day,avg_queue_length_ed,avg_queue_length_radio,avg_queue_length_lab,avg_queue_length_treat_phy,avg_queue_length_mon_nurse,avg_queue_length_surgery,avg_edwin_score,avg_door_to_doctor_time,avg_waiting_time_icu,avg_inward_utilization,avg_icu_utilization,avg_waiting_time_ed,avg_total_waiting_time,throughput_overall,rate_target_time_mts_full,rejected_Patients_ED,postponed_Patients_RAD,postponed_Patients_OR,postponed_Patients_LAB,avg_queue_length_lab,avg_doctor_utilization_surgery
17106.0,8393.0,17857.0,12047.0,39.71,139.0,13.0,164.5686274509804,0.8455770031940009,10.19233971690258,7.395503746877602,0.9883430474604497,0.0,0.0,0.027310461880611765,134.4640452641934,3.4877400781823478,0.5542617673775154,0.5571115682707096,5.324867021182371,83.31871288672689,335.4117647058824,3.0,0,0,0,0,7.395503746877602,0.41530606138535175,
17155.0,8359.0,17865.0,11914.0,42.23,163.0,1.0,163.90196078431373,0.2456603249548674,8.871773522064945,7.3963363863447125,1.2389675270607827,0.0,0.0,0.0070400044145880955,124.85294113552364,11.750799824584846,0.5950347967553308,0.51138423008173,1.6260738320574237,77.55063824209952,336.37254901960785,1.0,0,0,0,0,7.3963363863447125,0.5015151588010618,
17273.0,8397.0,18064.0,11986.0,52.87,166.0,0.0,164.64705882352942,0.021524788223857796,3.912572855953372,7.074937552039967,1.064113238967527,0.0,0.019150707743547043,4.056864589753848E-4,125.11827132128928,0.0,0.6303228151981239,0.6204474987098783,0.15352916655406243,55.31941047506456,338.6862745098039,0.0,0,0,0,0,7.074937552039967,0.6646622731850519,
17621.0,8404.0,18421.0,11984.0,61.71,216.0,33.0,164.7843137254902,1.6199139008471046,11.676935886761033,6.377185678601165,0.951706910907577,0.0,0.002497918401332223,0.04872905190609189,127.96403880680448,13.063416823790316,0.6520487406024319,0.6091561922349763,10.187919929095848,86.51457054857245,345.5098039215686,4.0,4,0,0,0,6.377185678601165,0.7322386341855263,
17926.0,8332.0,18785.0,12012.0,58.35,227.0,36.0,163.37254901960785,1.2834328565477018,7.99916736053289,8.352206494587843,1.0166527893422148,0.0,0.5253955037468776,0.0375763790053965,126.38519733157153,10.562812702579592,0.7051617758881802,0.5817734489410012,7.471894498936616,83.76540473069547,351.4901960784314,3.0,11,0,0,0,8.352206494587843,0.8118015987926789,
18156.0,8505.0,19131.0,12061.0,56.68,229.0,1.0,166.76470588235293,0.38911262324677126,7.475437135720233,11.457119067443797,1.0149875104079933,0.0,31.89841798501249,0.01030548170952001,122.72619713505036,3.447461510982005,0.7074784421444315,0.5870710368252449,2.687001758812022,87.01577761140989,356.0,2.0,0,0,0,0,11.457119067443797,0.9018656276769361,
18063.0,8362.0,19318.0,11980.0,56.46,236.0,9.0,163.9607843137255,0.5331203999444522,8.565362198168193,8.35886761032473,1.2847626977518734,0.0,180.49042464612822,0.014605439777171667,130.83999039345113,2.0594488520909926,0.7545990356326497,0.5747201859996752,3.4177918820748623,80.62901411561208,354.1764705882353,2.0,0,0,0,0,8.35886761032473,0.9634955873652228,
18229.0,8411.0,19559.0,12107.0,70.41,257.0,0.0,164.92156862745097,0.11831690043049577,3.9741881765195672,6.5095753538717736,1.2189841798501249,0.0,249.5878434637802,0.0033078758021514065,137.54802999042403,0.0,0.7792896911102768,0.6313806035899474,0.8255637823129345,65.566635425669,357.4313725490196,0.0,0,0,0,0,6.5095753538717736,0.966403796476697,
18117.0,8383.0,19712.0,12010.0,64.6,250.0,22.0,164.37254901960785,2.039855575614498,11.542880932556203,9.041631973355537,1.289758534554538,0.0,351.2789342214821,0.059258465768665614,147.97263518564736,6.06647556215343,0.7659810855032009,0.6386227040483117,12.901614019698593,136.18093447447313,355.2352941176471,7.0,0,0,0,0,9.041631973355537,0.9689199922355212,
18181.0,8430.0,20030.0,12112.0,70.6,269.0,0.0,165.2941176470588,0.006665740869323705,3.2722731057452124,6.439633638634471,1.3705245628642797,0.0,482.60116569525394,3.1223980016652786E-5,145.83702846513967,0.0,0.7683919458605455,0.5842780819268972,0.053772289665451695,86.08387420156934,356.4901960784314,0.0,0,0,0,0,6.439633638634471,0.9704246590796004,
18307.0,8599.0,20287.0,12154.0,78.59,279.0,0.0,168.6078431372549,0.3188446049159839,8.621981681931723,7.144046627810158,0.9200666111573689,0.0,578.8301415487094,0.00864068828525531,151.35738908046113,278.22765845153305,0.7635051403060692,0.5999535333687865,2.1366155392412027,81.19661046808184,358.96078431372547,1.0,0,0,0,0,7.144046627810158,0.9675494946066863,
18092.0,8344.0,20396.0,11847.0,64.72,255.0,0.0,163.6078431372549,0.09484793778641855,7.046627810158202,6.677768526228143,1.148209825145712,0.0,781.1723563696919,0.0021363639598443924,152.99960847724165,0.0,0.749835316725807,0.5727976084985928,0.6798039382834531,66.51571215951617,354.7450980392157,0.0,0,0,0,0,6.677768526228143,0.9716367688904161,
18086.0,8327.0,20574.0,11946.0,76.24,276.0,0.0,163.27450980392157,0.06512984307735037,3.4221482098251457,6.803497085761865,1.1007493755203996,0.0,824.1132389675271,0.0015096846903674547,152.03956691384786,62.29943711608713,0.7624339626404432,0.6195951229823872,0.4868039583421543,69.94576232549822,354.62745098039215,0.0,0,0,0,0,6.803497085761865,0.9673398497435729,
18221.0,8475.0,21019.0,12067.0,54.05,220.0,3.0,166.1764705882353,0.9923621719205666,14.228143213988343,10.15820149875104,1.164029975020816,0.0,971.2006661115737,0.02519220822197508,161.77309451143387,3.2178781354373056,0.7610064188523672,0.6484505900717662,6.449180262531889,120.66966158860447,357.27450980392155,5.0,0,0,0,0,10.15820149875104,0.9713040853726628,
17932.0,8331.0,21080.0,11913.0,64.21,244.0,0.0,163.35294117647058,0.3950840161088738,10.947543713572024,5.648626144879267,0.8576186511240633,0.0,1131.5220649458784,0.010874656786917401,160.82032023973463,0.0,0.7587380130768039,0.508766816259732,2.8070152577331826,97.5422792617184,351.6078431372549,1.0,0,0,0,0,5.648626144879267,0.9717829355268872,
18299.0,8594.0,21606.0,12198.0,75.14,266.0,1.0,168.50980392156862,0.23205110401333148,6.299750208159867,9.664446294754372,0.9184013322231473,0.0,1253.1681931723563,0.006284122887474262,162.3171456491316,116.6658604736547,0.7727479000277574,0.5851963362384619,1.5223969268534223,88.59010911434797,358.80392156862746,1.0,0,0,0,0,9.664446294754372,0.9720084846657887,
18159.0,8469.0,21801.0,11968.0,60.19,248.0,2.0,166.05882352941177,0.7957228162755173,8.03330557868443,7.568692756036636,0.8126561199000832,0.0,1400.466278101582,0.023649617740479526,169.8740445162949,15.287607361898186,0.7418552506670514,0.5648035682604056,5.337080111360731,91.41922024135779,356.05882352941177,3.0,0,0,0,0,7.568692756036636,0.9717508789348135,
18319.0,8492.0,22120.0,12082.0,73.35,267.0,1.0,166.50980392156862,0.2485765865851965,4.345545378850957,8.038301415487094,1.8784346378018317,0.0,1451.436303080766,0.006573511082774198,164.88567060179292,157.39050230213164,0.749115091144442,0.5861213262854911,1.6893004590269938,70.02711056994306,359.19607843137254,1.0,0,0,0,0,8.038301415487094,0.9718974315268422,
18277.0,8514.0,22368.0,12111.0,69.21,263.0,1.0,166.94117647058823,0.32939869462574645,6.563696919233972,7.29225645295587,0.787676935886761,0.0,1588.6952539550375,0.009128241947246945,165.86153430642347,0.07032799730887856,0.7775512004132537,0.5807702203062213,2.294145121015518,106.04225392509792,358.37254901960785,2.0,0,0,0,0,7.29225645295587,0.9727555103590853,
17910.0,8246.0,22465.0,11871.0,62.74,229.0,22.0,161.68627450980392,0.8876544924316068,10.790174854288093,6.563696919233972,1.1948376353039134,0.0,1837.6044962531223,0.025203355311078042,173.33599717440362,0.0,0.7574133421961248,0.618347811793123,5.448430306421392,90.6589371382671,351.1764705882353,3.0,0,0,0,0,6.563696919233972,0.9729372379845478,
